Index,Target Position x,Target Position y,Pred Position x,Pred Position y,Target Angle q1,Target Angle q2,Pred Angle q1,Pred Angle q2,Excursion s1,Excursion s2,Excursion s3,Time,R_00,R_01,R_10,R_11
43.0,1.462707403238341,10.363996720124996,1.5306798448993875,10.374304437792278,27.495866396582063,102.53944317680605,27.148724304201696,102.24988670908321,-12.705882352941174,-63.529411764705884,490.44571974893796,1.507102,-2.1367051535714303,0.0,0.0,-1.6094889574577913
44.0,1.4386796006773024,10.389316740917995,1.449268179979458,10.400290240804408,27.83657086157725,102.29186462296636,27.852054257666904,102.13482681404419,-13.019607843137251,-63.529411764705884,492.0954700291775,15.995965,-2.139239107140079,0.0,0.0,-1.6076778294803251
45.0,1.4142135623730951,10.414213562373096,1.4544821531578034,10.408989079984813,28.176593906756246,102.04865120279506,27.88449005065847,102.01767154823979,-13.019607843137251,-63.529411764705884,491.72415634493456,0.012,-2.1417304105174435,0.0,0.0,-1.6058337188148855
46.0,1.3893167409179945,10.438679600677302,1.3290885609708005,10.442359828923282,28.515865749974164,101.80986055144622,28.925385702142762,101.8984567973821,-13.490196078431374,-63.529411764705884,494.36998429595667,1.185079,-2.1441783005948847,0.0,0.0,-1.6039571903291625
47.0,1.363996720124997,10.46270740323834,1.3344877438823035,10.45140592586882,28.854317597451264,101.57554950139573,28.957812450243406,101.77721907802184,-13.490196078431374,-63.529411764705884,493.9823136628176,0.011013,-2.1465820275616476,0.0,0.0,-1.6020488188207143
48.0,1.3382612127177165,10.486289650954788,1.296215583298781,10.46831670286929,29.191881636692965,101.34577406220221,29.326722258306603,101.65399552636332,-13.647058823529413,-63.529411764705884,494.5961488803731,0.023015,-2.1489408551345353,0.0,0.0,-1.600109188840904
49.0,1.3121180579810146,10.509419160445544,1.302000776729681,10.477620644519028,29.528491029946235,101.12058939973349,29.35829071186811,101.52882388688904,-13.647058823529413,-63.529411764705884,494.1901676831605,0.011985,-2.151254060783439,0.0,0.0,-1.598138894515846
50.0,1.2855752193730787,10.532088886237956,1.2752493983903008,10.561924014145585,29.86407990816859,100.9000498148992,30.149293103337193,100.55672797995838,-14.0,-63.0,492.67479122984514,2.358135,-2.1535209359526566,0.0,0.0,-1.5961385393644187
51.0,1.258640782099675,10.554291922913942,1.230477836760536,10.561916104243792,30.198583365485902,100.68420872192817,30.43398757098251,100.64764961343448,-14.117647058823529,-63.13725490196078,493.8925611666855,0.012,-2.155740786277928,0.0,0.0,-1.5941087361134034
52.0,1.2313229506513166,10.576021507213444,1.2366954380031783,10.571511740498698,30.531937454112832,100.47311862623424,30.464653154811188,100.51767339140292,-14.117647058823529,-63.13725490196078,493.46465303004527,0.014014,-2.157912931799126,0.0,0.0,-1.5920501065097978
