Index,Target Position x,Target Position y,Pred Position x,Pred Position y,Target Angle q1,Target Angle q2,Pred Angle q1,Pred Angle q2,Excursion s1,Excursion s2,Time
56.0,1.1183858069414936,10.658075145110084,1.0347473312445947,10.603179606259975,31.852614450377406,99.67728524701151,32.0,100.5,-16.0,-67.0,0.015625
57.0,1.0892780700300542,10.677341135890849,1.0347473312445947,10.603179606259975,32.17929570904392,99.49070431817574,32.0,100.5,-16.0,-67.0,21.406276
58.0,1.0598385284664098,10.696096192312853,1.0347473312445947,10.603179606259975,32.50446379926537,99.30916905357935,32.0,100.5,-16.0,-67.0,20.921846
59.0,1.0300761498201083,10.714334601404225,0.8822352749552591,10.743279630539504,32.828061370816684,99.13272495185869,34.0,99.0,-17.0,-66.0,21.187549
60.0,1.0000000000000002,10.732050807568877,0.8822352749552591,10.743279630539504,33.150032004268674,98.96141641632279,34.0,99.0,-17.0,-66.0,0.0
61.0,0.9696192404926742,10.749239414278792,0.8822352749552591,10.743279630539504,33.470320208798746,98.79528673118013,34.0,99.0,-17.0,-66.0,0.015624
62.0,0.9389431255717817,10.765895185717854,0.8822352749552591,10.743279630539504,33.78887142016941,98.63437803783113,34.0,99.0,-17.0,-66.0,0.015616
63.0,0.9079809994790937,10.782013048376736,0.8822352749552591,10.743279630539504,34.10563199884182,98.47873131127817,34.0,99.0,-17.0,-66.0,0.0
64.0,0.8767422935781549,10.797588092598334,0.8822352749552591,10.743279630539504,34.420549228192215,98.32838633670613,34.0,99.0,-17.0,-66.0,0.015637
65.0,0.8452365234813989,10.8126155740733,0.8822352749552591,10.743279630539504,34.73357131279816,98.18338168628541,34.0,99.0,-17.0,-66.0,21.46878
66.0,0.8134732861516004,10.827090915285202,0.7239745120871621,10.878957739828564,35.04464737676227,98.04375469625035,36.0,97.5,-18.0,-65.0,20.984399
67.0,0.7814622569785474,10.841009706904881,0.7239745120871621,10.878957739828564,35.35372746204008,97.90954144430555,36.0,97.5,-18.0,-65.0,0.015628
